category,product_name,total_orders,total_revenue_usd,avg_price,avg_rating,return_rate,avg_discount_pct,avg_delivery_days,SKU
Automotive,Air Freshener,87,10543.38,73.61,3.95,7,4.54,4.66,AUTOMOTIVE-001
Automotive,Car Phone Mount,86,10950.18,73.82,3.99,12,5.76,4.08,AUTOMOTIVE-002
Automotive,Car Vacuum Cleaner,73,8588.32,71.15,4.11,7,7.53,4.38,AUTOMOTIVE-003
Automotive,Dashcam 4K,79,9402.79,68.25,4.06,6,4.18,4.2,AUTOMOTIVE-004
Automotive,Jump Starter Pack,68,8338.79,78.06,4,10,4.63,4.03,AUTOMOTIVE-005
Automotive,Seat Covers Universal,67,8436.91,65.08,3.92,9,4.4,4.24,AUTOMOTIVE-006
Automotive,Steering Wheel Cover,73,8197.79,64.02,3.97,11,7.47,4.11,AUTOMOTIVE-007
Automotive,Tire Inflator,64,7845.98,66.38,4.11,8,5.55,4.16,AUTOMOTIVE-008
Automotive,USB Car Charger,69,8572.56,70.09,4.02,7,5.36,4.29,AUTOMOTIVE-009
Automotive,Windshield Cleaner,54,7873.24,71.74,3.99,9,4.07,3.94,AUTOMOTIVE-010
Beauty & Personal Care,Electric Toothbrush,148,9800.96,32.39,4.02,11,5.27,4.17,BEAUTY-001
Beauty & Personal Care,Face Wash Gel,178,11015.82,31.36,3.91,10,4.35,4.07,BEAUTY-002
Beauty & Personal Care,Hair Dryer Pro,155,10357.94,33.95,4.02,7,4.74,4.62,BEAUTY-003
Beauty & Personal Care,Hyaluronic Acid Moisturizer,172,10072.78,31.92,3.95,7,6.25,3.7,BEAUTY-004
Beauty & Personal Care,Lip Balm Set,157,9129.76,30.45,4.08,9,5.7,4,BEAUTY-005
Beauty & Personal Care,Nail Kit,141,7194.81,30.44,4.05,6,5.92,4.16,BEAUTY-006
Beauty & Personal Care,Perfume Floral,156,9236.07,31.73,3.99,8,5.13,4.15,BEAUTY-007
Beauty & Personal Care,Shampoo Argan Oil,169,10339.54,32.9,4,8,6.01,4.23,BEAUTY-008
Beauty & Personal Care,Sunscreen SPF50,157,9068.98,29.83,3.98,6,4.68,3.88,BEAUTY-009
Beauty & Personal Care,Vitamin C Serum,167,10258.88,32.26,3.96,9,5.9,3.86,BEAUTY-010
Books,Atomic Habits,179,8414.57,25.25,3.95,9,6.48,4.06,BOOKS-001
Books,Clean Code,178,8112.6,26.19,3.94,6,6.32,4.15,BOOKS-002
Books,Deep Work,189,8837.01,26.02,3.97,6,5.69,4.2,BOOKS-003
Books,Python Crash Course,193,9076.18,25.1,4.07,10,5.31,4.04,BOOKS-004
Books,System Design Interview,178,9714.21,27.19,4.02,7,5.59,4.25,BOOKS-005
Books,The Alchemist,188,9243.91,25.58,4,6,5.19,3.99,BOOKS-006
Books,The Lean Startup,163,8241.57,26.26,4.09,10,6.32,4.86,BOOKS-007
Books,The Pragmatic Programmer,178,8396.55,25.02,4.02,6,5.25,3.69,BOOKS-008
Books,Thinking Fast and Slow,203,10273.38,27.19,4.01,10,5.25,4.49,BOOKS-009
Books,Zero to One,199,10018.09,24.92,3.98,15,5.83,4.17,BOOKS-010
Clothing & Apparel,Casual Sneakers,347,38190.18,62.08,3.9,8,6.18,4.12,CLOTHING-001
Clothing & Apparel,Classic White Tee,395,45309.64,61.24,4.03,7,5.41,4.32,CLOTHING-002
Clothing & Apparel,Formal Dress Shirt,388,44926.5,63.48,4.02,7,6.88,4.17,CLOTHING-003
Clothing & Apparel,Hoodie Pullover,357,39357.54,58.39,4.04,10,6.65,4.3,CLOTHING-004
Clothing & Apparel,Leather Belt,377,41344.3,62.23,4.06,7,5.54,4.26,CLOTHING-005
Clothing & Apparel,Running Shoes,379,39912.65,59.41,4.02,8,5.49,4.2,CLOTHING-006
Clothing & Apparel,Slim Fit Jeans,384,44074.6,60.28,3.98,9,5.69,4.07,CLOTHING-007
Clothing & Apparel,Sports Socks 6-Pack,389,45603.36,60.77,4.06,7,5.44,4.22,CLOTHING-008
