SKU,supplier_id,avg_lead_time,supplier_status,on_time_deivery_rate,defect_rate,last_audit_date
AUTOMOTIVE-001,SUP-001,19,Active,98.79,1.88,01-12-25
AUTOMOTIVE-002,SUP-001,16,Active,98.79,1.88,01-12-25
AUTOMOTIVE-003,SUP-001,10,Active,98.79,1.88,01-12-25
AUTOMOTIVE-004,SUP-001,11,Active,98.79,1.88,01-12-25
AUTOMOTIVE-005,SUP-002,14,Active,91.46,0.43,03-04-25
AUTOMOTIVE-006,SUP-002,19,Active,91.46,0.43,03-04-25
AUTOMOTIVE-007,SUP-002,15,Active,91.46,0.43,03-04-25
AUTOMOTIVE-008,SUP-002,12,Active,91.46,0.43,03-04-25
AUTOMOTIVE-009,SUP-002,10,Active,91.46,0.43,03-04-25
AUTOMOTIVE-010,SUP-002,12,Active,91.46,0.43,03-04-25
BEAUTY-001,SUP-003,18,On Hold,79.02,4.27,23-10-25
BEAUTY-002,SUP-003,17,On Hold,79.02,4.27,23-10-25
BEAUTY-003,SUP-003,19,On Hold,79.02,4.27,23-10-25
BEAUTY-004,SUP-003,19,On Hold,79.02,4.27,23-10-25
BEAUTY-005,SUP-003,16,On Hold,79.02,4.27,23-10-25
BEAUTY-006,SUP-004,14,Active,95.47,2.36,20-01-25
BEAUTY-007,SUP-004,10,Active,95.47,2.36,20-01-25
BEAUTY-008,SUP-004,10,Active,95.47,2.36,20-01-25
BEAUTY-009,SUP-004,19,Active,95.47,2.36,20-01-25
BEAUTY-010,SUP-004,16,Active,95.47,2.36,20-01-25
BOOKS-001,SUP-005,18,Active,87.66,0.9,22-01-24
BOOKS-002,SUP-005,15,Active,87.66,0.9,22-01-24
BOOKS-003,SUP-005,16,Active,87.66,0.9,22-01-24
BOOKS-004,SUP-005,17,Active,87.66,0.9,22-01-24
BOOKS-005,SUP-005,18,Active,87.66,0.9,22-01-24
BOOKS-006,SUP-006,17,Active,85.33,1.41,25-05-25
BOOKS-007,SUP-006,10,Active,85.33,1.41,25-05-25
BOOKS-008,SUP-006,19,Active,85.33,1.41,25-05-25
BOOKS-009,SUP-006,15,Active,85.33,1.41,25-05-25
BOOKS-010,SUP-006,18,Active,85.33,1.41,25-05-25
CLOTHING-001,SUP-007,11,Active,89.24,1.04,08-07-24
CLOTHING-002,SUP-007,15,Active,89.24,1.04,08-07-24
CLOTHING-003,SUP-007,17,Active,89.24,1.04,08-07-24
CLOTHING-004,SUP-008,17,Active,93.97,1.08,31-08-24
CLOTHING-005,SUP-008,19,Active,93.97,1.08,31-08-24
CLOTHING-006,SUP-009,18,Active,85.67,1.6,21-01-24
